ppt_id,trial,stimulus,script,lexicality,word_eng,age,language_status,correct_response,response,correct,rt,rt_sec
6,25,latin_nonword_island.png,latin,nonword,island,32,balanced,nonword,nonword,TRUE,901,0.901
6,26,latin_realword_invite.png,latin,word,invite,32,balanced,word,word,TRUE,1016,1.016
6,27,latin_realword_wine.png,latin,word,wine,32,balanced,word,word,TRUE,616,0.616
6,28,chinese_nonword_home.png,chinese,nonword,home,32,balanced,nonword,nonword,TRUE,783,0.783
6,29,latin_realword_tea.png,latin,word,tea,32,balanced,word,word,TRUE,633,0.633
6,30,chinese_realword_keen.png,chinese,word,keen,32,balanced,word,word,TRUE,766,0.766
6,31,chinese_realword_sister.png,chinese,word,sister,32,balanced,word,word,TRUE,651,0.651
6,32,chinese_nonword_pull.png,chinese,nonword,pull,32,balanced,nonword,nonword,TRUE,784,0.784
6,33,chinese_realword_morning.png,chinese,word,morning,32,balanced,word,word,TRUE,6952,6.952
6,34,chinese_realword_wealth.png,chinese,word,wealth,32,balanced,word,word,TRUE,584,0.584
6,35,latin_nonword_change.png,latin,nonword,change,32,balanced,nonword,word,FALSE,551,0.551
6,36,latin_nonword_bag.png,latin,nonword,bag,32,balanced,nonword,nonword,TRUE,1034,1.034
6,37,chinese_nonword_lean.png,chinese,nonword,lean,32,balanced,nonword,nonword,TRUE,816,0.816
6,38,chinese_nonword_feed.png,chinese,nonword,feed,32,balanced,nonword,nonword,TRUE,851,0.851
6,39,latin_realword_put.png,latin,word,put,32,balanced,word,word,TRUE,934,0.934
6,40,chinese_nonword_sisterinlaw.png,chinese,nonword,sisterinlaw,32,balanced,nonword,nonword,TRUE,799,0.799
7,1,chinese_realword_pinch.png,chinese,word,pinch,25,Chinese-family-dominant,word,word,TRUE,1311.5999998092666,1.3115999998092667
7,2,chinese_nonword_island.png,chinese,nonword,island,25,Chinese-family-dominant,nonword,nonword,TRUE,1201.8999999046318,1.2018999999046318
7,3,chinese_realword_put.png,chinese,word,put,25,Chinese-family-dominant,word,word,TRUE,1183.4999999999964,1.1834999999999964
7,4,chinese_realword_tea.png,chinese,word,tea,25,Chinese-family-dominant,word,word,TRUE,1724.0999998092666,1.7240999998092665
7,5,chinese_nonword_bag.png,chinese,nonword,bag,25,Chinese-family-dominant,nonword,nonword,TRUE,1539.4999999999964,1.5394999999999963
7,6,chinese_realword_wine.png,chinese,word,wine,25,Chinese-family-dominant,word,word,TRUE,1025.3999997138962,1.0253999997138963
7,7,chinese_nonword_tree.png,chinese,nonword,tree,25,Chinese-family-dominant,nonword,nonword,TRUE,2599.8999999046355,2.5998999999046353
7,8,latin_realword_keen.png,latin,word,keen,25,Chinese-family-dominant,word,word,TRUE,1835.9999996185288,1.8359999996185288
7,9,latin_realword_morning.png,latin,word,morning,25,Chinese-family-dominant,word,word,TRUE,875.5999999999985,0.8755999999999985
7,10,chinese_realword_invite.png,chinese,word,invite,25,Chinese-family-dominant,word,word,TRUE,743.7999999046297,0.7437999999046296
7,11,latin_realword_grass.png,latin,word,grass,25,Chinese-family-dominant,word,word,TRUE,1236.5999996185274,1.2365999996185273
7,12,latin_nonword_pickaxe.png,latin,nonword,pickaxe,25,Chinese-family-dominant,nonword,nonword,TRUE,1519.9000000000017,1.5199000000000016
7,13,chinese_realword_medicine.png,chinese,word,medicine,25,Chinese-family-dominant,word,word,TRUE,1038.3999998092622,1.0383999998092621
7,14,chinese_realword_sea.png,chinese,word,sea,25,Chinese-family-dominant,word,word,TRUE,1576.999999809268,1.576999999809268
7,15,latin_realword_sister.png,latin,word,sister,25,Chinese-family-dominant,word,word,TRUE,1155.199999999997,1.1551999999999971
